Leodario;1234567891;87;20;5;2025
Ana;596563218;20;27;7;2004
Arthur;1234567890;21;24;5;2004
Felipe;3330003331;11;21;6;2003
Artur;4354354356;44;1;1;1999
Coxa;3567899871;19;31;12;2008
Maria;9876543210;35;15;3;1989
Jonas;4567891230;42;8;11;1982
Pedro;7891234560;28;30;4;1996
Julia;3216549870;19;12;9;2005
Carlos;1472583690;55;25;2;1969
Beatriz;9638527410;31;17;8;1993
Lucas;8529637410;24;5;6;2000
Gabriel;7418529630;16;22;10;2008
Isabella;3692581470;27;14;7;1997
Rafael;2583691470;38;3;12;1986
Sofia;1473692580;22;19;5;2002
Matheus;9631472580;45;11;1;1979
Laura;8521473690;29;28;3;1995
Miguel;7419638520;33;9;8;1991
